page,title,year of issue,genres,developer,download link
https://v.otxataba.net/games/torrent_igry/3d/sins-of-a-solar-empire-rebellion-v-195-4-dlc/3-1-0-1482,Sins of a Solar Empire - Rebellion [v 1.95 + 4 DLC] (2012) скачать торрент RePack от xatab ,2012,3D/Strategy/Real-time,Ironclad Games,https://v.otxataba.net/index.php?do=download&id=2353
https://v.otxataba.net/games/torrent_igry/strategy/othercide/7-1-0-1473,Othercide (2020) скачать торрент RePack от xatab ,2020,Strategy,Lightbulb Crew,https://v.otxataba.net/index.php?do=download&id=2337
https://v.otxataba.net/games/torrent_igry/3d/hunting-simulator-2-bear-hunter-edition/3-1-0-1465,Hunting Simulator 2 - Bear Hunter Edition [v 1.0.0.141.64215+DLC] (2020) скачать торрент RePack от xatab ,2020,3D/Simulator,Neopica,https://v.otxataba.net/index.php?do=download&id=2336
https://v.otxataba.net/games/torrent_igry/strategy/besiege-v101-2020-pc-licenzija/7-1-0-1297,Besiege v.1.05-12536 [GOG] (2020) скачать торрент Лицензия ,18 февраля 2020,Strategy/Simulator,Spiderling Studio,https://v.otxataba.net/index.php?do=download&id=2332
https://v.otxataba.net/games/torrent_igry/action/superhot-mind-control-delete-gog-2020-pc-licenzija/5-1-0-1467,SUPERHOT: MIND CONTROL DELETE [GOG] (2020) скачать торрент Лицензия ,16 июля 2020,Action/Shooter/1st Person,SUPERHOT Team,https://v.otxataba.net/index.php?do=download&id=2333
https://v.otxataba.net/games/torrent_igry/3d/deadliest-catch-the-game/3-1-0-1472,Deadliest Catch: The Game (2020) скачать торрент RePack от xatab ,2020,3D/Simulator,Moonlit S.A.,https://v.otxataba.net/index.php?do=download&id=2327
https://v.otxataba.net/games/torrent_igry/3d/american_truck_simulator_v_1_3_1_1s_7_dlc_2016_pc_124_repack_ot_xatab/3-1-0-235,American Truck Simulator [v 1.38.1.14s + DLC] (2016) скачать торрент RePack от xatab ,2016,3D/Racing/Simulator,SCS Software,https://v.otxataba.net/index.php?do=download&id=2329
https://v.otxataba.net/games/torrent_igry/rpg/enderal_forgotten_stories_2019_repack_ot_xatab/2-1-0-994,The Elder Scrolls V: Skyrim - Enderal: Forgotten Stories (v 1.6.0.0 (EFS) (2019) скачать торрент RePack от xatab ,2019 г.,RPG/3D/3rd Person/1st Person,SureAI,https://v.otxataba.net/index.php?do=download&id=2335
https://v.otxataba.net/games/torrent_igry/3d/rds_the_official_drift_videogame_2019_repack_ot_xatab/3-1-0-1033,RDS The Official Drift Videogame (Update.v  175 Build 15) (2019) скачать торрент RePack от xatab ,2019 г.,3D/Racing/Simulator/Sport,Drift Physics Crew,https://v.otxataba.net/index.php?do=download&id=2328
https://v.otxataba.net/games/torrent_igry/3d/superhot_2016_pc_124_licenzija/3-1-0-910,SUPERHOT v.1.0.16 [GOG] (2016) скачать торрент Лицензия ,25 февраля 2016,3D/Action/Shooter/1st Person,SUPERHOT Team,https://v.otxataba.net/index.php?do=download&id=2334
https://v.otxataba.net/games/torrent_igry/3rd_person/world_war_z_2019_pc_124_repack_ot_xatab/4-1-0-947,World War Z - Goty Edition {Update.v1.70+DLC} (2019) скачать торрент RePack от xatab ,2019 г.,3rd Person/Action/Shooter,Saber Interactive,https://v.otxataba.net/index.php?do=download&id=2330
https://v.otxataba.net/games/torrent_igry/rpg/monster-hunter-world-build-140000-2018-pc-repack-ot-xatab/2-1-0-1474,Monster Hunter: World (build 14.00.00) (2018) скачать торрент RePack от xatab ,2018,RPG/3rd Person/Action,"CAPCOM Co., Ltd.",https://v.otxataba.net/index.php?do=download&id=2339
https://v.otxataba.net/games/torrent_igry/action/no-mans-sky-v231-2016-pc-repack-by-xatab/5-1-0-1283,No man's Sky (v 2.61.1) (2016) скачать торрент RePack от xatab ,2016,Action/1st Person,Hello Games,https://v.otxataba.net/index.php?do=download&id=2326
https://v.otxataba.net/games/torrent_igry/3d/victory_at_sea_pacific_v_1_0_7_2018_pc_124_repack_by_xatab/3-1-0-689,Victory At Sea Pacific [v 1.7.2 (39897) ] (2018) скачать торрент RePack от xatab ,2018 г.,3D/Strategy/Simulation,Evil Twin Artworks,https://v.otxataba.net/index.php?do=download&id=2315
https://v.otxataba.net/games/torrent_igry/adventure/the_long_dark_v_1_05_32319_2017_pc_124_repack_by_xatab/10-1-0-427,The Long Dark [v 1.82] (2017) скачать торрент RePack от xatab ,1 августа. 2017,Adventure,Hinterland Studio Inc,https://v.otxataba.net/index.php?do=download&id=2313
https://v.otxataba.net/games/torrent_igry/action/carrion/5-1-0-1471,CARRION (2020) скачать торрент Лицензия ,2020,Action/Adventure,Phobia Game Studio,https://v.otxataba.net/index.php?do=download&id=2321
https://v.otxataba.net/games/torrent_igry/3d/snowrunner/3-1-0-1346,SnowRunner - Premium Edition  [v. 6.1+DLC] (2020) скачать торрент RePack от xatab ,2020,3D/Simulator,Saber Interactive,https://v.otxataba.net/index.php?do=download&id=2317
https://v.otxataba.net/games/torrent_igry/strategy/transport-fever-2-2019-repack-ot-xatab/7-1-0-1215,Transport Fever 2 [build 29596 (39832)] (2019) скачать торрент RePack от xatab ,2019,Strategy/Simulation,Urban Games,https://v.otxataba.net/index.php?do=download&id=2314
